x y z
1.144 19.1 0
1.439 16.5 1
1.26 23.5 1
0.921 20.7 1
1.57 20 1
0.446 18.9 0
0.641 17.2 0
1.012 23.4 1
1.626 18 0
1.924 20.3 1
0.242 19.9 0
0.474 20 0
3.793 22.7 1
0.998 22.5 1
0.977 18.4 0
2.517 22.4 1
2.298 19.6 1
1.224 21.3 1
0.837 23.1 1
0.716 20.5 0
3.207 19 1
1.847 19.9 1
0.927 18.2 0
1.446 17.8 0
1.079 17.6 0
1.049 16.2 1
1.175 23 1
1.234 19.9 0
4.198 18.5 1
2.779 20.8 1
2.166 23.2 1
0.593 20.7 1
1.11 18.7 0
1.008 16 1
2.525 19.6 1
2.572 18.5 0
2.44 17.4 0
2.282 16.4 1
1.475 19.3 1
1.758 16.2 1
1.984 18.9 0
0.981 17.9 1
0.698 16.6 1
5.786 22.3 1
1.001 19.9 1
2.239 19.3 0
1.018 23.3 1
0.717 22.1 1
1.237 23.2 1
0.441 21 0
0.275 17.2 0
1.992 19 1
1.315 22.5 1
0.839 15.8 1
1.814 19.1 0
2.365 17.8 1
0.478 23.1 1
1.334 22.6 1
2.083 20.6 1
1.756 18 0
1.091 19 1
0.665 16.9 1
0.78 21.1 1
1.999 17.1 1
1.093 16.6 1
1.64 23.6 1
3.173 22.2 1
0.679 19.8 0
0.361 23 1
1.336 21.1 1
0.645 17.2 0
1.591 20 1
0.218 17 1
1.541 22.6 1
0.997 22.6 1
3.05 18 1
2.101 17.2 0
1.584 17.1 1
1.389 19.5 0
0.207 22.7 1
0.737 21.5 0
1.337 20.6 1
0.302 23.6 1
2.903 18.1 1
1.498 18 1
2.075 22.7 1
1.814 20.6 1
1.262 19.9 0
2.12 18.3 0
2.419 23.6 1
1.709 17.7 1
0.726 18.3 0
1.185 19.3 1
4.538 21.9 1
0.78 17.4 0
1.297 17.9 0
0.594 23 1
1.828 18.9 0
1.396 17 0
2.147 20 1
1.107 18.1 0
0.095 20.5 0
1.617 17.8 0
1.303 16.2 1
1.208 22.6 1
2.499 16.2 1
2.634 18.1 1
1.64 23 1
0.357 16.4 0
4.743 15.8 1
1.966 16.1 0
1.873 15.9 1
1.278 22 1
1.492 19.5 0
0.951 17.6 0
0.861 23.4 1
0.953 21.4 1
0.958 18.8 0
0.871 23.6 1
1.809 20.5 1
2.326 20.9 1
0.969 22.6 1
1.02 18.7 0
0.862 21.1 1
0.569 21.6 1
1.728 23.3 1
1.382 15.9 1
